VIN,Model,Type,Year,Brand,Dealership,Miles,BoughtPrice,InventoryStatus,ListingPrice
1HGBH41JXMN109186,Civic,Sedan,2021,Honda,1,32000,18500,Sold,22082.25
2T1BURHE5JC123456,Camry,Sedan,2020,Toyota,1,45000,17200,Available,23008.07
3GNAXUEV0KS501234,Equinox,SUV,2019,Chevrolet,1,58000,15800,Available,20271.38
5XYZU3LB1JG234567,Sorento,SUV,2022,Kia,2,21000,24500,Sold,30616.78
1FTEW1EP5JKE56789,F-150,Truck,2018,Ford,2,72000,22000,Available,25058.1
WBA5A5C51FD890123,3 Series,Coupe,2023,BMW,2,12000,35000,Reserved,39864.95
1G1YY22G455678901,Corvette,Coupe,2020,Chevrolet,3,28000,42000,Available,46809.88
JTDKN3DU5A0345678,Prius,Sedan,2021,Toyota,3,39000,19800,Sold,26067.57
5J6RW1H56KA678901,CR-V,SUV,2022,Honda,3,18000,26500,Available,33132.39
1N4BL4BV4KC901234,Altima,Sedan,2019,Nissan,1,61000,14200,Sold,18133.66
3C4PDCAB8LT112233,Pacifica,SUV,2021,Chrysler,2,34000,21000,Available,23208.07
1GCUYDED1LZ445566,Sierra,Truck,2020,GMC,3,55000,28500,Available,38260.61
WP0AB2A72CL778899,911,Coupe,2023,Porsche,1,8000,68000,Reserved,88951.52
KNDJP3A52JE334455,Soul,Sedan,2018,Kia,2,81000,10500,Available,12107.39
JM1NDAL75K0556677,CX-5,SUV,2022,Mazda,3,25000,23000,Sold,26345.49
06YO1PTSQB3ZYVTQR,Cybertruck,Coupe,2023,Tesla,2,40053,21450,Sold,24578.51
0ZV4R2260TW5CJA27,Model S,Sedan,2022,Tesla,1,43593,14327,Sold,16849.42
4XVMV6EIJL7S7WT7D,Bronco,Hatchback,2022,Ford,4,110883,5965,Reserved,7344.04
C5E31UMUS055M6OBB,Pilot,SUV,2015,Honda,4,54662,11013,Sold,13303.55
QOAPKEGFG5DG5B9JL,Cybertruck,Coupe,2020,Tesla,2,8263,20382,Reserved,23904.16
JI5YJYHQ8549VLAAE,GT-R,Coupe,2021,Nissan,3,72604,15165,Available,19001.19
T9GZ1T10W7L44IJH1,Equinox,SUV,2022,Chevrolet,3,66183,14424,Available,16369.41
EWFTEQCWPNEO09OVG,CX-9,Sedan,2024,Mazda,4,61788,15231,Reserved,17866.51
W90FMTY0KXKA7T9GH,Supra,Coupe,2017,Toyota,4,92864,6657,Reserved,7932.42
9HUAJJUHF64VKVAA9,MX-5 Miata,Hatchback,2022,Mazda,3,31594,17398,Reserved,21121.48
MI87GW1MBPP9U8IX4,Stinger,Hatchback,2021,Kia,1,26613,17753,Available,23013.11
V02U7O2NFJ2TXYMMU,F-150,Sedan,2021,Ford,2,115302,6302,Reserved,7246.79
86M9VFXMXFXPY8B5P,3 Series,SUV,2023,BMW,2,100928,9983,Reserved,12264.7
JQA106K6YJSG0H6H0,Cybertruck,Hatchback,2017,Tesla,1,98451,5122,Reserved,6392.79
3W2QUQNS2H6CDIX9L,R8,Coupe,2023,Audi,2,60778,20684,Reserved,22992.6
RSR1OHS5JNK3C8EXX,Altima,Sedan,2019,Nissan,4,47340,13711,Available,17164.61
PTVB8OKCUUTJ69U3W,NSX,Coupe,2016,Honda,1,53004,9519,Available,10876.7
51D07UE221UWCIRRL,R8,Truck,2017,Audi,3,45718,13475,Reserved,15041.64
9RSP9GKOTQF8JASH8,AMG GT,Truck,2020,Mercedes-Benz,1,87943,8998,Sold,12032.32
JA9M9MD94MSXTJVN9,Malibu,SUV,2015,Chevrolet,4,29762,14046,Available,18841.42
AC3B4LK56MER99E11,Explorer,Sedan,2018,Ford,2,24960,19571,Sold,25483.39
