Appointment ID,Employee ID,Customer ID,VIN #,Status,Appointment Date,Dealership ID
1,3,1,1HGBH41JXMN109186,Completed,2025-01-10,1
2,3,1877,2T1BURHE5JC123456,Completed,2025-01-22,1
3,6,3,5XYZU3LB1JG234567,Completed,2025-01-30,2
4,6,921,1FTEW1EP5JKE56789,Completed,2025-02-08,2
5,9,9,1G1YY22G455678901,Completed,2025-02-15,3
6,9,4,JTDKN3DU5A0345678,Completed,2025-02-28,3
7,6,489,3C4PDCAB8LT112233,Completed,2025-03-12,2
8,9,1017,1GCUYDED1LZ445566,Completed,2025-03-25,3
9,6,1228,WBA5A5C51FD890123,Scheduled,2025-04-15,2
10,3,1347,KNDJP3A52JE334455,Scheduled,2025-04-18,1
11,9,1451,5J6RW1H56KA678901,Cancelled,2025-04-20,3
12,99,1809,J8LC3XVFXPZPW4HA0,Completed,2025-04-18,2
13,45,865,PNGXCNMYA6DM93X52,Completed,2025-10-22,2
14,93,1038,DT2N8GPTRESPHFXXJ,Completed,2025-12-14,3
15,195,921,1FTEW1EP5JKE56789,Scheduled,2025-01-24,1
16,192,1960,0D6QWHX8D26H5CWKN,Scheduled,2025-04-17,2
17,195,1555,Y32LA5A5SDZU7XZZW,Completed,2025-06-28,1
18,126,1045,I15651JEFGH14MSJB,Completed,2026-02-12,1
19,102,1816,KURKJKLW88JAZM087,Completed,2025-05-05,3
20,75,522,PMU8PYCN439P1AUMN,Completed,2025-04-22,3
21,171,175,6ZG2CSYGPKAEOM51I,Scheduled,2025-02-18,2
22,39,1478,U37SB2JUJJDQ125HH,Scheduled,2026-01-07,3
23,84,794,JN5H1GWEFBUP6B6H4,Completed,2025-02-23,3
24,39,359,8YA0MKRZO9MVZP3YE,Completed,2025-02-19,3
25,42,270,NC5PL5QSUUS8AHBO7,Completed,2026-02-11,1
26,48,449,ZWUXK68Z10E0W99AU,Cancelled,2025-02-07,1
27,156,750,EVWHNR7EVO9K09G8T,Completed,2025-11-16,3
28,96,1707,PCP8H4CHNJFRMPMSX,Completed,2025-08-04,2
29,54,281,5MS6XQFRYR88EAI0R,Scheduled,2025-01-16,2
30,15,1356,VHM94HJMCGVO1HGS4,Completed,2025-01-30,4
31,138,736,KDK8SQFGZHWKNJNG3,Cancelled,2025-03-11,2
32,99,397,1STP5MAZ75ZE9C4I5,Cancelled,2025-12-28,2
33,189,438,H7HW52UMUQYOERM4A,Completed,2026-03-07,2
34,39,1588,ZDMHS95JXDKUHYST6,Completed,2025-02-26,3
35,9,903,TE361G7AK9TZJWR66,Completed,2025-07-09,3
36,162,819,LNKK6HL0SQQX3TV64,Completed,2026-02-20,2
37,186,989,MK6CF37TG22IPPOAE,Scheduled,2026-02-01,1
38,12,1329,82JTQBU74T3LT73JZ,Completed,2025-02-24,1
39,180,1737,EDI5FKR0BIQMTYNEM,Scheduled,2025-09-10,3
40,42,1866,4IC7ADUZE1N396M3X,Scheduled,2025-05-12,1
41,102,258,36C61W4H2G1BH4JQ6,Scheduled,2025-02-23,3
42,63,1105,9SP8AEPJFP5ZMOJGT,Completed,2025-02-04,1
43,90,701,NLRTEH3SSYRMMV00Y,Completed,2025-07-23,3
44,162,1852,S8SNMRPVJHG0WQP3M,Completed,2025-11-12,2
45,42,339,QCRYN1H8HALEBY56P,Completed,2025-06-10,1
46,108,843,DJN7BPXG6X9GF4115,Completed,2025-04-16,1
47,9,1475,I7JDQ1P3HS598DQPL,Completed,2025-01-28,3
48,9,1226,3ZIC6FUU3PSQY4101,Completed,2025-02-25,3
49,42,1959,L7LI40POMUQ9DBWB4,Completed,2025-02-21,1
50,165,1233,STU377PD69HK18P81,Completed,2025-12-16,4
51,150,363,1OEE61C6WQEEK2OVA,Completed,2025-09-17,1
52,156,1021,YC0SJ7X45VNOBEKDI,Scheduled,2025-12-08,3
53,165,205,M4LQ82LX5X9L5RHTM,Completed,2026-03-28,4
54,36,342,GGGY9WMMX7MSJOHUX,Completed,2025-06-20,2
55,75,1453,QHTO5P6U4ZVEE04R5,Completed,2025-07-17,3
56,186,1619,YA0BBM37H051VVP4E,Scheduled,2025-12-11,1
57,153,397,1STP5MAZ75ZE9C4I5,Completed,2026-03-30,4
58,99,1506,UWA0Q7CMPXQ6VMV58,Cancelled,2026-04-03,2
59,120,1133,5RFQIUDYMJJKIJCAE,Completed,2025-12-21,3
60,42,1038,DT2N8GPTRESPHFXXJ,Completed,2026-02-14,1
61,21,1753,FAVZNI6T03FPKL1CO,Cancelled,2025-11-07,1
62,24,1647,GGJWMPFHUPG18HXF8,Completed,2026-01-13,2
63,48,1274,I2J33JY8GA0PBWPTW,Completed,2025-03-16,1
64,105,484,DHRKGI684I5XBYIWR,Completed,2025-07-04,3
65,24,1842,BLET611DMTGM09L82,Completed,2025-11-25,2
66,147,1294,J0XS3ZS4946NYH4HD,Scheduled,2025-06-12,3
67,33,375,SU2X07Q5FIP5Q8AS7,Completed,2025-11-23,4
68,3,1227,97RAB22OCJUFBT656,Completed,2026-03-17,1
69,60,1537,O8B010I9AUZQ67OKT,Completed,2025-10-09,4
70,30,729,M9JZ8TA9I6IRYZK15,Completed,2025-01-26,1
71,147,327,OA9O2Y9FXH3B9HYFC,Completed,2026-02-15,3
72,102,1085,8SO7U7VH3XXP4DO48,Completed,2025-05-20,3
73,69,1532,FUAI98T1EGETXST60,Scheduled,2025-02-23,1
74,27,348,W6QL5E8W8AZFUCT96,Completed,2026-01-18,2
75,150,814,BEX486KP7GW095KZK,Scheduled,2025-04-11,1
76,186,1792,QXV218KOJKFYLT3BA,Completed,2026-02-07,1
77,126,1539,3XFVW4I7VIN3RC7DQ,Completed,2025-04-17,1
78,189,725,U3TNP00RS2JC741KZ,Completed,2025-10-26,2
79,150,601,T2AOWDWWFK4PYLPIQ,Completed,2025-10-22,1
80,78,320,QWH9PFOOJ0I3LTMCK,Completed,2025-04-28,4
81,120,1746,W0J9PSDODLSNYJ31L,Completed,2025-07-02,3
82,165,445,X2ZRWIZXAAZS4WKQY,Completed,2025-07-09,4
