VIN #,Service ID,Cost,Date,Service Done,Employee ID
1HGBH41JXMN109186,1,85.0,2025-01-10,Oil Change,3
2T1BURHE5JC123456,2,450.0,2025-01-22,Brakes,3
5XYZU3LB1JG234567,3,120.0,2025-01-30,Oil Change,6
1FTEW1EP5JKE56789,4,680.0,2025-02-08,Tires,6
1G1YY22G455678901,5,95.0,2025-02-15,Oil Change,9
JTDKN3DU5A0345678,6,520.0,2025-02-28,Brakes,9
3C4PDCAB8LT112233,7,200.0,2025-03-12,Tires,6
1GCUYDED1LZ445566,8,750.0,2025-03-25,Tires,9
WBA5A5C51FD890123,9,110.0,2025-04-01,Oil Change,6
1N4BL4BV4KC901234,10,380.0,2025-04-10,Brakes,3
EC55S7J1SOLKOIJ7P,11,470.87,2026-02-02,Oil Change,144
VN9O9GZKR3DAGDC9Y,12,414.5,2025-05-07,Oil Change,81
37E4H3W8DQTNXLFIP,13,464.77,2025-07-27,Brakes,12
UEAZQMR1LN5KYRCIW,14,557.69,2025-10-17,Brakes,108
6I6ZO8ZJVWESHQL0F,15,120.72,2026-01-24,Oil Change,171
JQA106K6YJSG0H6H0,16,675.13,2025-09-29,Tires,78
02115A2D1EM23802T,17,808.0,2025-08-22,Tires,129
IFA2E94M2VWKZ92XX,18,163.24,2025-03-28,Oil Change,123
LZHCH413R8NAVRNHS,19,116.01,2026-01-17,Oil Change,78
0AC6NQY8SRD2XQIEC,20,125.47,2025-07-13,Tires,57
RQNM1MD9FBK3TAX4F,21,102.83,2025-10-24,Oil Change,78
ULWV5CWB4NAM3F9TB,22,833.21,2025-11-27,Brakes,39
J8LC3XVFXPZPW4HA0,23,202.92,2025-09-03,Oil Change,60
ZAJVVEPC2BSBQ6302,24,143.68,2025-01-19,Oil Change,78
5J04IZ32RKRUSJM3N,25,516.73,2025-08-02,Brakes,189
NXLK0SJ53S0JVADBK,26,351.14,2025-03-27,Brakes,69
7ICME7MYL4OVVH3GL,27,125.21,2025-03-03,Oil Change,165
