Sale ID,Date,Customer ID,Employee ID,VIN #,Sold Price
1,2025-01-15,1,2,1HGBH41JXMN109186,21500
2,2025-02-03,3,5,5XYZU3LB1JG234567,27800
3,2025-02-20,4,8,JTDKN3DU5A0345678,22500
4,2025-03-10,5,10,1N4BL4BV4KC901234,16500
5,2025-03-28,7,5,JM1NDAL75K0556677,26000
6,2025-04-05,2,2,WP0AB2A72CL778899,72000
7,2025-04-12,9,8,1G1YY22G455678901,45000
8,2025-04-20,6,10,3GNAXUEV0KS501234,18200
9,2025-08-07,1666,161,YB2A0HNT30RBCQL9S,24662.83
10,2025-12-23,1860,7,1YEQNKBTNCV03SSOT,17052.61
11,2025-01-27,1292,85,V4MULYEYMHDADNRT2,22909.08
12,2025-08-14,1643,8,Y3WNLY8SP5ILA4ZWP,17310.91
13,2025-05-24,735,175,16YLF0MH9M8TO7IMB,12848.62
14,2025-05-22,567,115,L2RCZPTJBCXXURU8Y,18018.49
15,2025-09-06,1432,163,ZN9KTWOHCPGF9S5PM,27509.79
16,2025-04-07,429,143,N58EAIU0WOUDCDCQ1,13063.34
17,2025-12-12,660,190,S4SJM3TFZWFV5O7SY,13817.54
18,2026-02-18,1671,45,O7HS4XXANAF8J0OMS,18681.6
19,2025-03-01,684,91,RDD3E376VERO1JL7W,32846.49
20,2026-03-03,1713,59,3TKCKXSQXYG9IVWP4,21388.43
21,2025-03-07,1873,185,0QISAWS48UET4C9Z2,6291.85
22,2025-06-24,1274,128,I2J33JY8GA0PBWPTW,18381.96
23,2025-07-29,415,68,3TAI2SCU8YNPZ1SQZ,6233.6
24,2025-07-13,691,113,53MB98Y2X15XVH6OV,21064.16
25,2025-04-06,1965,44,BLSPBDVRNAENRC1NN,21309.93
26,2025-04-22,1192,80,WXD02E8P10I660LRX,6228.1
27,2025-12-09,1148,76,95DFKNXZ6JX0WX975,24226.67
28,2025-04-16,816,159,BY6UXRCH2XV0XJPL9,16474.7
29,2025-03-03,186,183,URCXGEWDCLJTP5MLD,6491.61
30,2025-12-20,829,68,5KMA6ZBJBB62PUAII,8598.89
31,2025-10-14,725,102,Q0WYL9CP5AZT8BX1B,6679.23
32,2025-03-09,1731,189,DH70LCFONY4MAO196,11974.06
33,2026-02-27,602,158,JTEE9B3U1B90IPV9G,23927.52
34,2025-06-29,461,114,O7NBH101X95GV3I9T,8201.86
35,2025-10-22,318,171,W7H2YSM20G2832YWO,10226.71
36,2025-05-09,1707,178,PCP8H4CHNJFRMPMSX,7453.52
37,2025-05-10,902,166,SCENGX1GTBB2MEBN0,7146.3
38,2025-01-21,608,63,K9QPTC8WGUWLQG9G7,31699.11
39,2025-11-24,990,113,D7GMXBZ18VEQNBNT3,6520.54
40,2025-11-01,394,106,S7NXTAL8GDVSLYQD7,19138.49
41,2025-11-08,819,161,LNKK6HL0SQQX3TV64,13434.83
42,2025-08-01,1530,67,5H9ZMX95I9FUFYGR3,11644.41
43,2025-07-20,1646,68,6WCSLBGOSVZU1D03C,15485.81
44,2025-05-15,656,139,G372B9U5UIXIPYKK7,12437.49
45,2026-01-04,276,83,DMGJ2SDRAIGBXLSK1,8672.84
46,2026-01-09,506,138,S1OKISZ0AG8L26K46,8316.24
47,2026-02-20,1040,182,47AJBP7964Y458EZI,14700.11
48,2025-03-09,1654,155,NWC6H2CJL914V1P27,26064.35
49,2026-01-17,1438,166,TRGEBBM8DKVM4ZBVI,8825.32
50,2025-05-09,953,69,2961HG4QK85KYLMV2,21380.04
51,2025-09-07,1268,113,K9FQZKXF75E2I9BRS,8046.74
52,2025-02-17,1953,44,XI81TJBGKCF7VAEOR,30202.24
53,2025-10-28,1332,15,63TDOL51B5ETT7TR7,16982.62
54,2026-01-11,303,17,ZIFFSUXLKEMH3KIVB,30658.02
55,2026-01-18,566,146,KCXVSOSYYILFGWXNM,7940.57
56,2026-01-22,57,183,OW5UAY1HQQULXUOCV,10539.09
57,2026-02-10,1931,35,4EBCHNKH4GGSNELTO,27891.99
58,2025-09-03,635,138,ZUGU4SEF0DPZZ9AFM,17549.3
59,2025-07-03,477,146,8SZAJSZ1I9FRN0OHD,16799.73
60,2025-08-11,296,197,2HRCUKVVE9PED62A5,20714.04
61,2025-11-11,645,2,AV0Q896V8R5MA6Q5C,23868.98
62,2026-01-14,1546,92,930KRITH7PAQGLHV2,8180.29
63,2025-02-20,1258,17,O0KKGC4YNLXNIXCGE,23618.5
64,2025-04-07,1501,50,MKFXPD6M85I4UV4J2,28663.18
65,2026-02-15,1555,46,Y32LA5A5SDZU7XZZW,5368.61
66,2025-12-13,1903,127,YESM0LHAUQ52BDXKV,8919.12
67,2025-03-01,193,104,QHFK4U400E3RLAW9R,16400.22
68,2025-12-31,794,105,5TG3X3V7P6FLZ7Q3C,39998.52
69,2025-03-26,1736,88,F2U0A19MJEPWRARKC,10940.04
70,2025-07-15,364,182,4IRB4NQ87CE1F46UN,21570.74
71,2025-09-27,186,48,08GAYG33JZCTVENNB,12986.08
72,2025-05-11,720,166,DNQ9LNY24CDMBTB88,18895.81
73,2025-09-03,1540,25,3ICCGFROJXBIAFS5Y,28185.27
74,2026-04-10,1242,16,DQ9NFFKYW0XTRWSBM,13530.75
75,2025-07-25,196,44,MT4CPRA5LUAPRA204,6264.15
76,2025-01-21,10,84,D5MY6854ED5SCK50H,16197.14
77,2026-02-28,1854,146,U9VGHOIV8YUMYYP9F,25694.8
78,2025-02-19,1958,45,7E2P3TLCUNZVZQ8ED,21247.77
79,2025-09-27,373,138,L8H7ZSLTM3AWYWDLK,9368.47
80,2025-03-05,1787,175,XXRL80WH60F4L88BB,22217.49
81,2025-07-25,1176,46,Q7GW315J8RLE417MR,14024.06
82,2026-03-24,1802,198,3QNC5GH5X2OF7MQP6,23910.48
83,2026-03-07,1678,114,BK05976V78RR4SOM9,8170.42
84,2025-10-17,1820,31,5TL1EXMI6OH4NUNE2,6041.79
85,2025-06-13,221,90,ZWS81ESSU7INQST5L,13387.79
86,2025-10-07,343,26,3S7Z00UK0EBAW0BJP,6824.84
87,2025-04-04,1256,87,MSE6MEL2Q9UHFQLHI,7767.18
88,2025-12-18,1123,100,BI8M7LKJIBAFG8PLB,17243.54
89,2025-12-23,1136,17,ZAJM1JSSTDVEL3CUK,22828.63
90,2025-03-28,491,126,TLSMX38W8JU5FQVFB,21752.96
91,2025-02-05,734,16,M76BXCKCNTU63LH9N,10437.22
92,2025-09-17,1661,169,V8WQMOIC8AS3WW7IO,23580.21
93,2025-11-13,203,134,I6K19LZD5NZZI4OG5,16949
94,2025-06-28,1868,135,MV9YXROMDOX33WSF3,27682.11
95,2025-10-09,808,194,LC9EZ0WP7SB9W4AK1,13130.98
96,2025-06-08,657,35,N2EXMNXPPWXIH3S34,8419.23
97,2025-12-01,874,104,Q1952LWGTTQ279E66,9288.26
98,2025-09-23,49,126,VOUMGGH3KZO5HR6PW,14346.97
99,2025-09-19,1249,100,6YIMASWYHNCY054D2,14469.31
100,2026-02-21,1579,74,XDUWOMFS0W9F45LRT,13938.42
101,2025-10-12,1703,11,51SR0ES3RLUGTLWMI,6002.19
102,2025-11-11,1532,147,FUAI98T1EGETXST60,24033.1
103,2025-06-24,1514,13,F3ZJO3HTWTJNVL1PC,11656.39
104,2025-06-19,789,49,060D87LUVOMXF3C22,25895.75
